file,name,return_type,args
src/client/container.cpp,Container::onUpdateItem,void,"int slot, const ItemPtr& item"
src/client/container.cpp,callLuaField,,"""onUpdateItem"", slot, item, oldItem"
src/client/container.cpp,Container::onRemoveItem,void,"int slot, const ItemPtr& lastItem"
src/client/container.cpp,callLuaField,,"""onSizeChange"", m_size"
src/client/container.cpp,if,,lastItem
src/client/container.cpp,onAddItem,,"lastItem, m_firstIndex + m_capacity - 1"
src/client/container.cpp,updateItemsPositions,,
src/client/container.cpp,callLuaField,,"""onSizeChange"", m_size"
src/client/container.cpp,callLuaField,,"""onRemoveItem"", slot, item"
src/client/container.cpp,Container::updateItemsPositions,void,
src/client/container.h,Container,protected:,"int id, int capacity, const std::string& name, const ItemPtr& containerItem, bool hasParent, bool isUnlocked, bool hasPages, int containerSize, int firstIndex"
src/client/container.h,getItem,public: ItemPtr,int slot
src/client/container.h,getItems,std::deque<ItemPtr>,
src/client/container.h,getItemsCount,int,
src/client/container.h,getSlotPosition,Position,int slot
src/client/container.h,getId,int,
src/client/container.h,getCapacity,int,
src/client/container.h,getContainerItem,ItemPtr,
src/client/container.h,getName,std::string,
src/client/container.h,hasParent,bool,
src/client/container.h,isClosed,bool,
src/client/container.h,isUnlocked,bool,
src/client/container.h,hasPages,bool,
src/client/container.h,getSize,int,
src/client/container.h,getFirstIndex,int,
src/client/container.h,findItemById,ItemPtr,"uint itemId, int subType"
src/client/container.h,onOpen,protected: void,const ContainerPtr& previousContainer
src/client/container.h,onClose,void,
src/client/container.h,onAddItem,void,"const ItemPtr& item, int slot"
src/client/container.h,onAddItems,void,const std::vector<ItemPtr>& items
src/client/container.h,onUpdateItem,void,"int slot, const ItemPtr& item"
src/client/container.h,onRemoveItem,void,"int slot, const ItemPtr& lastItem"
src/client/container.h,updateItemsPositions,private: void,
src/client/creature.cpp,Creature::draw,void,"const Point& dest, bool animate, LightView* lightView"
src/client/creature.cpp,drawBottomWidgets,,"creatureCenter, m_walking ? m_walkDirection : m_direction"
src/client/creature.cpp,if,,m_showTimedSquare && animate
src/client/creature.cpp,if,,m_showStaticSquare && animate
src/client/creature.cpp,if,,m_marked
src/client/creature.cpp,drawTopWidgets,,"creatureCenter, m_walking ? m_walkDirection : m_direction"
src/client/creature.cpp,Creature::drawOutfit,void,"const Rect& destRect, Otc::Direction direction, const Color& color, bool animate, bool ui, bool oldScaling"
src/client/creature.cpp,Creature::drawInformation,void,"const Point& point, bool useGray, const Rect& parentRect, int drawFlags"
src/client/creature.cpp,if,,g_extras.debugWalking
src/client/creature.cpp,if,,healthBar
src/client/creature.cpp,if,,healthBar
src/client/creature.cpp,if,,drawFlags & Otc::DrawManaBar
src/client/creature.cpp,if,,player
src/client/creature.cpp,if,,maxMana == 0
src/client/creature.cpp,if,,manaPercent >= 0
src/client/creature.cpp,if,,healthBar
src/client/creature.cpp,if,,manaBar
src/client/creature.cpp,if,,!healthBar
src/client/creature.cpp,if,,drawFlags & Otc::DrawNames
src/client/creature.cpp,if,,m_text
src/client/creature.cpp,if,,m_skull != Otc::SkullNone && m_skullTexture
src/client/creature.cpp,if,,m_shield != Otc::ShieldNone && m_shieldTexture && m_showShieldTexture
src/client/creature.cpp,if,,m_emblem != Otc::EmblemNone && m_emblemTexture
src/client/creature.cpp,if,,m_type != Proto::CreatureTypeUnknown && m_typeTexture
src/client/creature.cpp,if,,m_icon != Otc::NpcIconNone && m_iconTexture
src/client/creature.cpp,Creature::isInsideOffset,bool,Point offset
src/client/creature.cpp,Creature::canShoot,bool,int distance
src/client/creature.cpp,Creature::turn,void,Otc::Direction direction
src/client/creature.cpp,setDirection,,direction
src/client/creature.cpp,callLuaField,,"""onTurn"", direction"
src/client/creature.cpp,Creature::walk,void,"const Position& oldPos, const Position& newPos"
src/client/creature.cpp,setDirection,,m_lastStepDirection
src/client/creature.cpp,if,,m_walkFinishAnimEvent
src/client/creature.cpp,nextWalkUpdate,,
