cpp_symbol,lua_name,file,note
Game::moveToParentContainer,g_game.moveToParentContainer,src/client/game.h,singleton
Game::newPing,g_game.newPing,src/client/game.h,singleton
Game::open,g_game.open,src/client/game.h,singleton
Game::openOwnChannel,g_game.openOwnChannel,src/client/game.h,singleton
Game::openParent,g_game.openParent,src/client/game.h,singleton
Game::openPrivateChannel,g_game.openPrivateChannel,src/client/game.h,singleton
Game::openRuleViolation,g_game.openRuleViolation,src/client/game.h,singleton
Game::openStore,g_game.openStore,src/client/game.h,singleton
Game::openTransactionHistory,g_game.openTransactionHistory,src/client/game.h,singleton
Game::partyInvite,g_game.partyInvite,src/client/game.h,singleton
Game::partyJoin,g_game.partyJoin,src/client/game.h,singleton
Game::partyLeave,g_game.partyLeave,src/client/game.h,singleton
Game::partyPassLeadership,g_game.partyPassLeadership,src/client/game.h,singleton
Game::partyRevokeInvitation,g_game.partyRevokeInvitation,src/client/game.h,singleton
Game::partyShareExperience,g_game.partyShareExperience,src/client/game.h,singleton
Game::ping,g_game.ping,src/client/game.h,singleton
Game::playRecord,g_game.playRecord,src/client/game.h,singleton
Game::preyAction,g_game.preyAction,src/client/game.h,singleton
Game::preyRequest,g_game.preyRequest,src/client/game.h,singleton
Game::processAddAutomapFlag,g_game.processAddAutomapFlag,src/client/game.h,singleton
Game::processAttackCancel,g_game.processAttackCancel,src/client/game.h,singleton
Game::processChannelList,g_game.processChannelList,src/client/game.h,singleton
Game::processCloseChannel,g_game.processCloseChannel,src/client/game.h,singleton
Game::processCloseContainer,g_game.processCloseContainer,src/client/game.h,singleton
Game::processCloseNpcTrade,g_game.processCloseNpcTrade,src/client/game.h,singleton
Game::processCloseTrade,g_game.processCloseTrade,src/client/game.h,singleton
Game::processConnectionError,g_game.processConnectionError,src/client/game.h,singleton
Game::processContainerAddItem,g_game.processContainerAddItem,src/client/game.h,singleton
Game::processContainerRemoveItem,g_game.processContainerRemoveItem,src/client/game.h,singleton
Game::processContainerUpdateItem,g_game.processContainerUpdateItem,src/client/game.h,singleton
Game::processCounterTrade,g_game.processCounterTrade,src/client/game.h,singleton
Game::processDeath,g_game.processDeath,src/client/game.h,singleton
Game::processDisconnect,g_game.processDisconnect,src/client/game.h,singleton
Game::processEditList,g_game.processEditList,src/client/game.h,singleton
Game::processEditText,g_game.processEditText,src/client/game.h,singleton
Game::processEnterGame,g_game.processEnterGame,src/client/game.h,singleton
Game::processGMActions,g_game.processGMActions,src/client/game.h,singleton
Game::processGameEnd,g_game.processGameEnd,src/client/game.h,singleton
Game::processGameStart,g_game.processGameStart,src/client/game.h,singleton
Game::processInventoryChange,g_game.processInventoryChange,src/client/game.h,singleton
Game::processLogin,g_game.processLogin,src/client/game.h,singleton
Game::processLoginAdvice,g_game.processLoginAdvice,src/client/game.h,singleton
Game::processLoginError,g_game.processLoginError,src/client/game.h,singleton
Game::processLoginToken,g_game.processLoginToken,src/client/game.h,singleton
Game::processLoginWait,g_game.processLoginWait,src/client/game.h,singleton
Game::processModalDialog,g_game.processModalDialog,src/client/game.h,singleton
Game::processNewPing,g_game.processNewPing,src/client/game.h,singleton
Game::processNewWalkCancel,g_game.processNewWalkCancel,src/client/game.h,singleton
Game::processOpenChannel,g_game.processOpenChannel,src/client/game.h,singleton
Game::processOpenContainer,g_game.processOpenContainer,src/client/game.h,singleton
Game::processOpenNpcTrade,g_game.processOpenNpcTrade,src/client/game.h,singleton
Game::processOpenOwnPrivateChannel,g_game.processOpenOwnPrivateChannel,src/client/game.h,singleton
Game::processOpenPrivateChannel,g_game.processOpenPrivateChannel,src/client/game.h,singleton
Game::processOwnTrade,g_game.processOwnTrade,src/client/game.h,singleton
Game::processPendingGame,g_game.processPendingGame,src/client/game.h,singleton
Game::processPing,g_game.processPing,src/client/game.h,singleton
Game::processPingBack,g_game.processPingBack,src/client/game.h,singleton
Game::processPlayerGoods,g_game.processPlayerGoods,src/client/game.h,singleton
Game::processPlayerHelpers,g_game.processPlayerHelpers,src/client/game.h,singleton
Game::processPlayerModes,g_game.processPlayerModes,src/client/game.h,singleton
Game::processPredictiveWalkCancel,g_game.processPredictiveWalkCancel,src/client/game.h,singleton
Game::processQuestLine,g_game.processQuestLine,src/client/game.h,singleton
Game::processQuestLog,g_game.processQuestLog,src/client/game.h,singleton
Game::processRemoveAutomapFlag,g_game.processRemoveAutomapFlag,src/client/game.h,singleton
Game::processRuleViolationCancel,g_game.processRuleViolationCancel,src/client/game.h,singleton
Game::processRuleViolationChannel,g_game.processRuleViolationChannel,src/client/game.h,singleton
Game::processRuleViolationLock,g_game.processRuleViolationLock,src/client/game.h,singleton
Game::processRuleViolationRemove,g_game.processRuleViolationRemove,src/client/game.h,singleton
Game::processTalk,g_game.processTalk,src/client/game.h,singleton
Game::processTextMessage,g_game.processTextMessage,src/client/game.h,singleton
Game::processTutorialHint,g_game.processTutorialHint,src/client/game.h,singleton
Game::processUpdateNeeded,g_game.processUpdateNeeded,src/client/game.h,singleton
Game::processVipAdd,g_game.processVipAdd,src/client/game.h,singleton
Game::processVipStateChange,g_game.processVipStateChange,src/client/game.h,singleton
Game::processWalkCancel,g_game.processWalkCancel,src/client/game.h,singleton
Game::processWalkId,g_game.processWalkId,src/client/game.h,singleton
Game::refreshContainer,g_game.refreshContainer,src/client/game.h,singleton
Game::rejectTrade,g_game.rejectTrade,src/client/game.h,singleton
