widget,prop,value,file,line
label3,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,275
label33,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,284
UtanaCost,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,292
label4,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,306
label44,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,315
UtamoCost,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,323
label5,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,337
label55,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,346
UturaCost,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,354
label6,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,368
UturaType,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,377
nan,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,391
nan,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,405
label,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,424
label,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,439
closeButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,455
name,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/depositer_config.otui,10
slot,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/depositer_config.otui,23
title,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/depositer_config.otui,40
DepositerList,image-source,/images/ui/panel_flat,modules/modules/game_bot/default_configs/vBot_4.7/vBot/depositer_config.otui,50
bottomResizeBorder,background,#ffffff88,modules/modules/game_bot/default_configs/vBot_4.7/vBot/depositer_config.otui,75
CloseButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/depositer_config.otui,92
nan,image-source,/images/ui/item,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,1
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,9
nan,background,#363636,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,40
nan,background,#363636,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,44
text,background,#363636,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,52
text,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,52
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,59
title,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,155
mainLabel,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,163
up,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,191
down,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,202
title,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,219
mainLabel,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,227
title,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,288
head,image-source,/images/ui/item,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,296
body,image-source,/images/ui/item,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,305
legs,image-source,/images/ui/item,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,314
feet,image-source,/images/ui/item,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,323
neck,image-source,/images/ui/item,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,332
left-hand,image-source,/images/ui/item,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,342
finger,image-source,/images/ui/item,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,351
back,image-source,/images/game/slots/back-blessed,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,360
right-hand,image-source,/images/ui/item,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,369
ammo,image-source,/images/game/slots/ammo,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,378
cloneEq,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,385
default,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,395
title,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,408
title,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,428
add,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,459
closeButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,525
bossList,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/equipper.otui,533
bottomResizeBorder,background,#ffffff88,modules/modules/game_bot/default_configs/vBot_4.7/vBot/extras.otui,141
closeButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/extras.otui,151
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,1
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,25
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,53
title,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,92
spellSource,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,101
whenSpell,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,109
isSpell,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,117
spellCondition,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,126
spellValue,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,134
castSpell,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,142
spellFormula,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,150
manaSpell,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,157
manaCost,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,165
addSpell,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,193
MoveUp,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,201
MoveDown,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,210
title,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,222
itemSource,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,231
whenItem,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,239
isItem,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,247
itemCondition,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,256
itemValue,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,264
useItem,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/HealBot.otui,272
