from,to,status,reason
01_core/api/cpp/client/player.md,../diagrams/player.mmd,BROKEN,File not found
01_core/api/cpp/client/uimap.md,../diagrams/uimap.mmd,BROKEN,File not found
01_core/api/cpp/client/uisprite.md,../diagrams/uisprite.mmd,BROKEN,File not found
01_core/api/cpp/client/animatedtext.md,../diagrams/animatedtext.mmd,BROKEN,File not found
01_core/api/cpp/client/itemtype.md,../diagrams/itemtype.mmd,BROKEN,File not found
01_core/api/cpp/client/thing.md,../diagrams/thing.mmd,BROKEN,File not found
01_core/api/cpp/client/uiminimap.md,../diagrams/uiminimap.mmd,BROKEN,File not found
01_core/api/cpp/client/walkmatrix.md,../diagrams/walkmatrix.mmd,BROKEN,File not found
01_core/api/cpp/client/minimap.md,../diagrams/minimap.mmd,BROKEN,File not found
01_core/api/cpp/client/tile.md,../diagrams/tile.mmd,BROKEN,File not found
01_core/api/cpp/client/towns.md,../diagrams/towns.mmd,BROKEN,File not found
01_core/api/cpp/client/uiitem.md,../diagrams/uiitem.mmd,BROKEN,File not found
01_core/api/cpp/client/creatures.md,../diagrams/creatures.mmd,BROKEN,File not found
01_core/api/cpp/client/missile.md,../diagrams/missile.mmd,BROKEN,File not found
01_core/api/cpp/client/uiprogressrect.md,../diagrams/uiprogressrect.mmd,BROKEN,File not found
01_core/api/cpp/client/uicreature.md,../diagrams/uicreature.mmd,BROKEN,File not found
01_core/api/cpp/client/declarations.md,../diagrams/declarations.mmd,BROKEN,File not found
01_core/api/cpp/client/lightview.md,../diagrams/lightview.mmd,BROKEN,File not found
01_core/api/cpp/client/animator.md,../diagrams/animator.mmd,BROKEN,File not found
01_core/api/cpp/client/thingtypemanager.md,../diagrams/thingtypemanager.mmd,BROKEN,File not found
01_core/api/cpp/client/houses.md,../diagrams/houses.mmd,BROKEN,File not found
01_core/api/cpp/client/healthbars.md,../diagrams/healthbars.mmd,BROKEN,File not found
01_core/api/cpp/client/client.md,../diagrams/client.mmd,BROKEN,File not found
01_core/api/cpp/client/map.md,../diagrams/map.mmd,BROKEN,File not found
01_core/api/cpp/client/effect.md,../diagrams/effect.mmd,BROKEN,File not found
01_core/api/cpp/client/thingstype.md,../diagrams/thingstype.mmd,BROKEN,File not found
01_core/api/cpp/client/container.md,../diagrams/container.mmd,BROKEN,File not found
01_core/api/cpp/client/spritemanager.md,../diagrams/spritemanager.mmd,BROKEN,File not found
01_core/api/cpp/framework/xml/tinyxml.md,../diagrams/tinyxml.mmd,BROKEN,File not found
01_core/api/cpp/framework/xml/tinystr.md,../diagrams/tinystr.mmd,BROKEN,File not found
01_core/api/cpp/framework/sound/soundsource.md,../diagrams/soundsource.mmd,BROKEN,File not found
01_core/api/cpp/framework/sound/oggsoundfile.md,../diagrams/oggsoundfile.mmd,BROKEN,File not found
01_core/api/cpp/framework/sound/soundchannel.md,../diagrams/soundchannel.mmd,BROKEN,File not found
01_core/api/cpp/framework/sound/soundfile.md,../diagrams/soundfile.mmd,BROKEN,File not found
01_core/api/cpp/framework/sound/soundbuffer.md,../diagrams/soundbuffer.mmd,BROKEN,File not found
01_core/api/cpp/framework/sound/combinedsoundsource.md,../diagrams/combinedsoundsource.mmd,BROKEN,File not found
01_core/api/cpp/framework/sound/declarations.md,../diagrams/declarations.mmd,BROKEN,File not found
01_core/api/cpp/framework/sound/soundmanager.md,../diagrams/soundmanager.mmd,BROKEN,File not found
01_core/api/cpp/framework/sound/streamsoundsource.md,../diagrams/streamsoundsource.mmd,BROKEN,File not found
01_core/api/cpp/framework/graphics/painter.md,../diagrams/painter.mmd,BROKEN,File not found
01_core/api/cpp/framework/graphics/hardwarebuffer.md,../diagrams/hardwarebuffer.mmd,BROKEN,File not found
01_core/api/cpp/framework/graphics/graphics.md,../diagrams/graphics.mmd,BROKEN,File not found
01_core/api/cpp/framework/graphics/drawcache.md,../diagrams/drawcache.mmd,BROKEN,File not found
01_core/api/cpp/framework/graphics/atlas.md,../diagrams/atlas.mmd,BROKEN,File not found
01_core/api/cpp/framework/graphics/fontmanager.md,../diagrams/fontmanager.mmd,BROKEN,File not found
01_core/api/cpp/framework/graphics/cachedtext.md,../diagrams/cachedtext.mmd,BROKEN,File not found
01_core/api/cpp/framework/graphics/shader.md,../diagrams/shader.mmd,BROKEN,File not found
01_core/api/cpp/framework/graphics/framebuffer.md,../diagrams/framebuffer.mmd,BROKEN,File not found
01_core/api/cpp/framework/graphics/textrender.md,../diagrams/textrender.mmd,BROKEN,File not found
01_core/api/cpp/framework/graphics/colorarray.md,../diagrams/colorarray.mmd,BROKEN,File not found
01_core/api/cpp/framework/graphics/texturemanager.md,../diagrams/texturemanager.mmd,BROKEN,File not found
01_core/api/cpp/framework/graphics/shadermanager.md,../diagrams/shadermanager.mmd,BROKEN,File not found
01_core/api/cpp/framework/graphics/texture.md,../diagrams/texture.mmd,BROKEN,File not found
01_core/api/cpp/framework/graphics/coordsbuffer.md,../diagrams/coordsbuffer.mmd,BROKEN,File not found
01_core/api/cpp/framework/graphics/image.md,../diagrams/image.mmd,BROKEN,File not found
01_core/api/cpp/framework/graphics/paintershaderprogram.md,../diagrams/paintershaderprogram.mmd,BROKEN,File not found
01_core/api/cpp/framework/graphics/framebuffermanager.md,../diagrams/framebuffermanager.mmd,BROKEN,File not found
01_core/api/cpp/framework/graphics/apngloader.md,../diagrams/apngloader.mmd,BROKEN,File not found
01_core/api/cpp/framework/graphics/graph.md,../diagrams/graph.mmd,BROKEN,File not found
01_core/api/cpp/framework/graphics/drawqueue.md,../diagrams/drawqueue.mmd,BROKEN,File not found
01_core/api/cpp/framework/graphics/bitmapfont.md,../diagrams/bitmapfont.mmd,BROKEN,File not found
01_core/api/cpp/framework/graphics/declarations.md,../diagrams/declarations.mmd,BROKEN,File not found
01_core/api/cpp/framework/graphics/vertexarray.md,../diagrams/vertexarray.mmd,BROKEN,File not found
01_core/api/cpp/framework/graphics/shaderprogram.md,../diagrams/shaderprogram.mmd,BROKEN,File not found
01_core/api/cpp/framework/graphics/deptharray.md,../diagrams/deptharray.mmd,BROKEN,File not found
01_core/api/cpp/framework/graphics/animatedtexture.md,../diagrams/animatedtexture.mmd,BROKEN,File not found
01_core/api/cpp/framework/proxy/proxy.md,../diagrams/proxy.mmd,BROKEN,File not found
01_core/api/cpp/framework/proxy/proxy_client.md,../diagrams/proxy_client.mmd,BROKEN,File not found
01_core/api/cpp/framework/platform/win32window.md,../diagrams/win32window.mmd,BROKEN,File not found
01_core/api/cpp/framework/platform/x11window.md,../diagrams/x11window.mmd,BROKEN,File not found
01_core/api/cpp/framework/platform/sdlwindow.md,../diagrams/sdlwindow.mmd,BROKEN,File not found
01_core/api/cpp/framework/platform/androidwindow.md,../diagrams/androidwindow.mmd,BROKEN,File not found
01_core/api/cpp/framework/platform/platform.md,../diagrams/platform.mmd,BROKEN,File not found
01_core/api/cpp/framework/platform/platformwindow.md,../diagrams/platformwindow.mmd,BROKEN,File not found
01_core/api/cpp/framework/ui/uilayout.md,../diagrams/uilayout.mmd,BROKEN,File not found
01_core/api/cpp/framework/ui/uihorizontallayout.md,../diagrams/uihorizontallayout.mmd,BROKEN,File not found
01_core/api/cpp/framework/ui/uianchorlayout.md,../diagrams/uianchorlayout.mmd,BROKEN,File not found
01_core/api/cpp/framework/ui/uiwidget.md,../diagrams/uiwidget.mmd,BROKEN,File not found
01_core/api/cpp/framework/ui/uiboxlayout.md,../diagrams/uiboxlayout.mmd,BROKEN,File not found
01_core/api/cpp/framework/ui/uitextedit.md,../diagrams/uitextedit.mmd,BROKEN,File not found
01_core/api/cpp/framework/ui/uigridlayout.md,../diagrams/uigridlayout.mmd,BROKEN,File not found
01_core/api/cpp/framework/ui/uimanager.md,../diagrams/uimanager.mmd,BROKEN,File not found
01_core/api/cpp/framework/ui/uiverticallayout.md,../diagrams/uiverticallayout.mmd,BROKEN,File not found
01_core/api/cpp/framework/ui/declarations.md,../diagrams/declarations.mmd,BROKEN,File not found
01_core/api/cpp/framework/core/inputevent.md,../diagrams/inputevent.mmd,BROKEN,File not found
01_core/api/cpp/framework/core/application.md,../diagrams/application.mmd,BROKEN,File not found
01_core/api/cpp/framework/core/eventdispatcher.md,../diagrams/eventdispatcher.mmd,BROKEN,File not found
01_core/api/cpp/framework/core/timer.md,../diagrams/timer.mmd,BROKEN,File not found
01_core/api/cpp/framework/core/filestream.md,../diagrams/filestream.mmd,BROKEN,File not found
01_core/api/cpp/framework/core/clock.md,../diagrams/clock.mmd,BROKEN,File not found
01_core/api/cpp/framework/core/scheduledevent.md,../diagrams/scheduledevent.mmd,BROKEN,File not found
01_core/api/cpp/framework/core/configmanager.md,../diagrams/configmanager.mmd,BROKEN,File not found
01_core/api/cpp/framework/core/resourcemanager.md,../diagrams/resourcemanager.mmd,BROKEN,File not found
01_core/api/cpp/framework/core/graphicalapplication.md,../diagrams/graphicalapplication.mmd,BROKEN,File not found
01_core/api/cpp/framework/core/config.md,../diagrams/config.mmd,BROKEN,File not found
01_core/api/cpp/framework/core/event.md,../diagrams/event.mmd,BROKEN,File not found
01_core/api/cpp/framework/core/consoleapplication.md,../diagrams/consoleapplication.mmd,BROKEN,File not found
01_core/api/cpp/framework/core/logger.md,../diagrams/logger.mmd,BROKEN,File not found
01_core/api/cpp/framework/core/asyncdispatcher.md,../diagrams/asyncdispatcher.mmd,BROKEN,File not found
01_core/api/cpp/framework/core/declarations.md,../diagrams/declarations.mmd,BROKEN,File not found
01_core/api/cpp/framework/core/modulemanager.md,../diagrams/modulemanager.mmd,BROKEN,File not found
01_core/api/cpp/framework/core/module.md,../diagrams/module.mmd,BROKEN,File not found
01_core/api/cpp/framework/core/adaptiverenderer.md,../diagrams/adaptiverenderer.mmd,BROKEN,File not found
01_core/api/cpp/framework/core/binarytree.md,../diagrams/binarytree.mmd,BROKEN,File not found
01_core/api/cpp/framework/stdext/shared_object.md,../diagrams/shared_object.mmd,BROKEN,File not found
01_core/api/cpp/framework/stdext/cast.md,../diagrams/cast.mmd,BROKEN,File not found
01_core/api/cpp/framework/stdext/packed_any.md,../diagrams/packed_any.mmd,BROKEN,File not found
01_core/api/cpp/framework/stdext/packed_storage.md,../diagrams/packed_storage.mmd,BROKEN,File not found
01_core/api/cpp/framework/stdext/dumper.md,../diagrams/dumper.mmd,BROKEN,File not found
01_core/api/cpp/framework/stdext/any.md,../diagrams/any.mmd,BROKEN,File not found
01_core/api/cpp/framework/stdext/dynamic_storage.md,../diagrams/dynamic_storage.mmd,BROKEN,File not found
01_core/api/cpp/framework/stdext/time.md,../diagrams/time.mmd,BROKEN,File not found
01_core/api/cpp/framework/stdext/exception.md,../diagrams/exception.mmd,BROKEN,File not found
01_core/api/cpp/framework/stdext/uri.md,../diagrams/uri.mmd,BROKEN,File not found
01_core/api/cpp/framework/stdext/boolean.md,../diagrams/boolean.mmd,BROKEN,File not found
01_core/api/cpp/framework/net/packet_player.md,../diagrams/packet_player.mmd,BROKEN,File not found
01_core/api/cpp/framework/net/inputmessage.md,../diagrams/inputmessage.mmd,BROKEN,File not found
01_core/api/cpp/framework/net/outputmessage.md,../diagrams/outputmessage.mmd,BROKEN,File not found
01_core/api/cpp/framework/net/packet_recorder.md,../diagrams/packet_recorder.mmd,BROKEN,File not found
01_core/api/cpp/framework/net/server.md,../diagrams/server.mmd,BROKEN,File not found
01_core/api/cpp/framework/net/declarations.md,../diagrams/declarations.mmd,BROKEN,File not found
01_core/api/cpp/framework/net/protocol.md,../diagrams/protocol.mmd,BROKEN,File not found
01_core/api/cpp/framework/net/connection.md,../diagrams/connection.mmd,BROKEN,File not found
01_core/api/cpp/framework/otml/otmlparser.md,../diagrams/otmlparser.mmd,BROKEN,File not found
01_core/api/cpp/framework/otml/otmlemitter.md,../diagrams/otmlemitter.mmd,BROKEN,File not found
01_core/api/cpp/framework/otml/otmlnode.md,../diagrams/otmlnode.mmd,BROKEN,File not found
01_core/api/cpp/framework/otml/otmldocument.md,../diagrams/otmldocument.mmd,BROKEN,File not found
01_core/api/cpp/framework/otml/declarations.md,../diagrams/declarations.mmd,BROKEN,File not found
01_core/api/cpp/framework/otml/otmlexception.md,../diagrams/otmlexception.mmd,BROKEN,File not found
