widget_or_type,file,line,anchor
nan,modules/modules/client_stats/stats.otui,100,:ref:`modules-modules-client-stats-stats-otui-l100-nan-1e43fd5692`
widgetsInfo,modules/modules/client_stats/stats.otui,103,:ref:`modules-modules-client-stats-stats-otui-l103-widgetsinfo-cbca900b5c`
nan,modules/modules/client_stats/stats.otui,107,:ref:`modules-modules-client-stats-stats-otui-l107-nan-1dc9d9723a`
packets,modules/modules/client_stats/stats.otui,110,:ref:`modules-modules-client-stats-stats-otui-l110-packets-9ef55b3d6b`
nan,modules/modules/client_stats/stats.otui,114,:ref:`modules-modules-client-stats-stats-otui-l114-nan-f9d530cc49`
slowMain,modules/modules/client_stats/stats.otui,117,:ref:`modules-modules-client-stats-stats-otui-l117-slowmain-20d3839c11`
nan,modules/modules/client_stats/stats.otui,121,:ref:`modules-modules-client-stats-stats-otui-l121-nan-5301dd93be`
slowRender,modules/modules/client_stats/stats.otui,124,:ref:`modules-modules-client-stats-stats-otui-l124-slowrender-88240f01ce`
nan,modules/modules/client_stats/stats.otui,128,:ref:`modules-modules-client-stats-stats-otui-l128-nan-047a6d109d`
slowPackets,modules/modules/client_stats/stats.otui,131,:ref:`modules-modules-client-stats-stats-otui-l131-slowpackets-fdbcce9244`
debugScroll,modules/modules/client_stats/stats.otui,135,:ref:`modules-modules-client-stats-stats-otui-l135-debugscroll-0b650a79ba`
nan,modules/modules/client_stats/stats.otui,143,:ref:`modules-modules-client-stats-stats-otui-l143-nan-ba173a2ed7`
nan,modules/modules/client_stats/stats.otui,148,:ref:`modules-modules-client-stats-stats-otui-l148-nan-a819aecf13`
nan,modules/modules/client_terminal/terminal.otui,1,:ref:`modules-modules-client-terminal-terminal-otui-l1-nan-592303e871`
nan,modules/modules/client_terminal/terminal.otui,7,:ref:`modules-modules-client-terminal-terminal-otui-l7-nan-d5af0f6407`
terminalWindow,modules/modules/client_terminal/terminal.otui,20,:ref:`modules-modules-client-terminal-terminal-otui-l20-terminalwindow-88334ee3be`
titleBar,modules/modules/client_terminal/terminal.otui,30,:ref:`modules-modules-client-terminal-terminal-otui-l30-titlebar-0ef8da6114`
terminalBuffer,modules/modules/client_terminal/terminal.otui,44,:ref:`modules-modules-client-terminal-terminal-otui-l44-terminalbuffer-89e847da47`
terminalSelectText,modules/modules/client_terminal/terminal.otui,58,:ref:`modules-modules-client-terminal-terminal-otui-l58-terminalselect-baf58f7cad`
terminalScroll,modules/modules/client_terminal/terminal.otui,63,:ref:`modules-modules-client-terminal-terminal-otui-l63-terminalscroll-2b06ea14f1`
commandSymbolLabel,modules/modules/client_terminal/terminal.otui,71,:ref:`modules-modules-client-terminal-terminal-otui-l71-commandsymboll-80ca436fbe`
commandTextEdit,modules/modules/client_terminal/terminal.otui,81,:ref:`modules-modules-client-terminal-terminal-otui-l81-commandtextedi-3ab8d1cc29`
bottomResizeBorder,modules/modules/client_terminal/terminal.otui,104,:ref:`modules-modules-client-terminal-terminal-otui-l104-bottomresizeb-444990c428`
rightResizeBorder,modules/modules/client_terminal/terminal.otui,111,:ref:`modules-modules-client-terminal-terminal-otui-l111-rightresizebo-98ca43ad74`
