source_path,reason,details
game_bot/default_configs/vBot_4.7/vBot/Conditions.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/main.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/extras.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/hold_target.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/new_cavebot_lib.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/pushmax.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/BotServer.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/combo.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/quiver_label.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/cavebot_control_panel.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.7/vBot/depot_withdraw.lua,no_links,No internal links found
game_bot/default_configs/cavebot_1.3/cavebot/example_functions.lua,no_links,No internal links found
game_bot/default_configs/cavebot_1.3/cavebot/walking.lua,no_links,No internal links found
game_bot/default_configs/cavebot_1.3/cavebot/config.lua,no_links,No internal links found
game_bot/default_configs/cavebot_1.3/cavebot/depositer.lua,no_links,No internal links found
game_bot/default_configs/cavebot_1.3/cavebot/cavebot.lua,no_links,No internal links found
game_bot/default_configs/cavebot_1.3/cavebot/supply.lua,no_links,No internal links found
game_bot/default_configs/cavebot_1.3/cavebot/recorder.lua,no_links,No internal links found
game_bot/default_configs/cavebot_1.3/cavebot/actions.lua,no_links,No internal links found
game_bot/default_configs/cavebot_1.3/cavebot/extension_template.lua,no_links,No internal links found
game_bot/default_configs/cavebot_1.3/cavebot/editor.lua,no_links,No internal links found
game_bot/default_configs/cavebot_1.3/targetbot/target.lua,no_links,No internal links found
game_bot/default_configs/cavebot_1.3/targetbot/creature.lua,no_links,No internal links found
game_bot/default_configs/cavebot_1.3/targetbot/creature_attack.lua,no_links,No internal links found
game_bot/default_configs/cavebot_1.3/targetbot/creature_priority.lua,no_links,No internal links found
game_bot/default_configs/cavebot_1.3/targetbot/walking.lua,no_links,No internal links found
game_bot/default_configs/cavebot_1.3/targetbot/creature_editor.lua,no_links,No internal links found
game_bot/default_configs/cavebot_1.3/targetbot/looting.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/cavebot/supply_check.lua,no_links,No internal links found
game_bot/default_configs/vBot_4.8/cavebot/example_functions.lua,no_links,No internal links found
